,HRR,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds,Available ICU Beds,Potentially Available ICU Beds,Adult Population,Population 65+,Fipscode,Week,Concentration
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2021-06-23,9.31273986424079
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2021-06-30,5.166726446850299
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2021-07-07,16.996787406249513
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2021-07-14,19.58856499799604
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2021-07-21,8.308920328996239
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2021-07-28,40.73073253356444
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2021-08-04,124.07700926892949
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2021-08-11,143.63264260639565
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2021-08-18,135.1754670467249
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2022-02-02,127.55362857532144
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2022-02-09,72.57051041928587
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2022-02-16,103.2844380522796
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2022-02-23,134.57949306014214
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2022-03-02,92.53312595118769
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2022-03-09,50.58957126605194
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2022-03-16,76.52252095254565
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2022-03-23,93.68864086882172
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2022-03-30,45.38187759718631
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2022-04-06,39.59784467208051
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2022-04-13,124.35290045622082
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2022-04-20,162.5508420637611
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2022-04-27,274.76113283260463
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2022-05-04,362.7010288950426
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2022-05-11,438.4997599304698
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2022-05-18,663.5931789410263
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2022-05-25,766.5473739632689
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2022-06-01,468.8592958992135
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2022-06-08,476.00417194463176
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2022-06-15,462.767779360662
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2022-06-22,400.9971768849773
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2022-06-29,515.58293856115
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2022-07-06,622.9858494534346
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2022-07-13,852.2566236196641
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2022-07-20,754.4487071229379
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2022-07-27,741.9136270567033
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2022-08-03,836.219041560199
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2022-08-10,831.9039129889856
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2022-08-17,826.7593505977619
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2022-08-24,747.6865265205583
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2022-08-31,759.2735777876587
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2022-09-07,1045.4064303368948
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2022-09-14,799.7086290359656
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2022-09-28,705.9957396911074
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2022-10-05,683.8858406049018
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2022-10-12,666.5044349544352
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2022-10-19,721.0040623264593
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2022-10-26,729.7639750619243
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2022-11-02,613.7272966243071
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2022-11-09,762.2300147382658
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2022-11-16,487.9886247561555
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2022-11-23,674.8689632113076
1,"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042",39153,2022-11-30,869.3030158311536
5,"Albuquerque, NM","2,908",380,"1,102","2,005",161,270,"1,336,795","279,457",35001,2021-07-14,23.838141145036843
5,"Albuquerque, NM","2,908",380,"1,102","2,005",161,270,"1,336,795","279,457",35001,2021-07-21,80.23465103692945
5,"Albuquerque, NM","2,908",380,"1,102","2,005",161,270,"1,336,795","279,457",35001,2021-07-28,165.39461753420144
5,"Albuquerque, NM","2,908",380,"1,102","2,005",161,270,"1,336,795","279,457",35001,2021-08-04,241.0894268307832
5,"Albuquerque, NM","2,908",380,"1,102","2,005",161,270,"1,336,795","279,457",35001,2021-08-11,227.7301327704965
5,"Albuquerque, NM","2,908",380,"1,102","2,005",161,270,"1,336,795","279,457",35001,2021-08-18,233.96243694541656
5,"Albuquerque, NM","2,908",380,"1,102","2,005",161,270,"1,336,795","279,457",35001,2021-08-25,359.3093123061103
5,"Albuquerque, NM","2,908",380,"1,102","2,005",161,270,"1,336,795","279,457",35001,2022-06-01,236.8340850368033
5,"Albuquerque, NM","2,908",380,"1,102","2,005",161,270,"1,336,795","279,457",35001,2022-06-08,528.5098771908174
5,"Albuquerque, NM","2,908",380,"1,102","2,005",161,270,"1,336,795","279,457",35001,2022-06-15,643.3394904229176
5,"Albuquerque, NM","2,908",380,"1,102","2,005",161,270,"1,336,795","279,457",35001,2022-06-22,651.2943327016987
5,"Albuquerque, NM","2,908",380,"1,102","2,005",161,270,"1,336,795","279,457",35001,2022-06-29,487.4013830657127
5,"Albuquerque, NM","2,908",380,"1,102","2,005",161,270,"1,336,795","279,457",35001,2022-07-06,605.5608212603429
5,"Albuquerque, NM","2,908",380,"1,102","2,005",161,270,"1,336,795","279,457",35001,2022-07-13,683.7892531367197
5,"Albuquerque, NM","2,908",380,"1,102","2,005",161,270,"1,336,795","279,457",35001,2022-07-20,702.1214738713405
